"collection num","customer collection num","collection date","collection time","customer collection date","customer collection time","status","shopkeeper","kiosk name","kiosk city","Kiosk alias","amount","currency","customer id","valor_comision"
"71580878978296",12335,"2020-02-05","00:02:02","2020-02-05","00:02:02","Exitosa","183337","H16632R000466","Cali","NB San Fernando",40000,"cop","442138622258",760
"71580879243441",12337,"2020-02-05","00:07:42","2020-02-05","00:07:42","Exitosa","160057","1810P0920AWM3306","Bogota","Calle 71",13000,"cop","442138622258",418
"91580879324984",12341,"2020-02-05","00:09:43","2020-02-05","00:09:43","Exitosa","190609","1810P0920AWM3272","Cartagena","Heladeria",60000,"cop","442138622258",418
"01580879377297",12342,"2020-02-05","00:09:53","2020-02-05","00:09:53","Exitosa","184280","H16632R000655","Bogota","NB Chico",20000,"cop","442138622258",760
"11580879823668",12344,"2020-02-05","00:15:59","2020-02-05","00:15:59","Exitosa","137481","H16632R000466","Cali","NB San Fernando",70000,"cop","442138622258",760
"01580879880125",12346,"2020-02-05","00:18:17","2020-02-05","00:18:17","Exitosa","184280","H16632R000655","Bogota","NB Chico",20000,"cop","442138622258",760
"21580880192643",12349,"2020-02-05","00:23:27","2020-02-05","00:23:27","Exitosa","184272","H16632R000655","Bogota","NB Chico",20000,"cop","442138622258",760
"81580880148202",12350,"2020-02-05","00:23:30","2020-02-05","00:23:30","Exitosa","158738","1810P0920AWM3272","Cartagena","Heladeria",10000,"cop","442138622258",418
"71580880296627",12352,"2020-02-05","00:25:09","2020-02-05","00:25:09","Exitosa","159147","H16632R000427","Bogota","NB Calle 34",24000,"cop","442138622258",760
"51580881842029",12355,"2020-02-05","00:49:54","2020-02-05","00:49:54","Exitosa","156235","H16632R000466","Cali","NB San Fernando",80000,"cop","442138622258",760
"11580882116972",12357,"2020-02-05","00:54:04","2020-02-05","00:54:04","Exitosa","79241","H16632R000466","Cali","NB San Fernando",50000,"cop","442138622258",760
"31580882069209",12359,"2020-02-05","00:54:48","2020-02-05","00:54:48","Exitosa","59353","H16632R000655","Bogota","NB Chico",15000,"cop","442138622258",760
"41580882196453",12361,"2020-02-05","00:56:58","2020-02-05","00:56:58","Exitosa","85144","H16632R000633","Bogota","NB Modelia",100000,"cop","442138622258",760
"41580882370869",12363,"2020-02-05","00:58:39","2020-02-05","00:58:39","Exitosa","202624","H16632R000466","Cali","NB San Fernando",60000,"cop","442138622258",760
"91580882760170",12365,"2020-02-05","01:05:52","2020-02-05","01:05:52","Exitosa","58589","H16632R000633","Bogota","NB Modelia",50000,"cop","442138622258",760
"91580882951276",12367,"2020-02-05","01:09:18","2020-02-05","01:09:18","Exitosa","58589","H16632R000633","Bogota","NB Modelia",20000,"cop","442138622258",760
"91580883657653",12370,"2020-02-05","01:21:58","2020-02-05","01:21:58","Exitosa","226689","1810P0920AWM3272","Cartagena","Heladeria",70000,"cop","442138622258",418
"01580883976162",12372,"2020-02-05","01:26:34","2020-02-05","01:26:34","Exitosa","190920","H16632R000633","Bogota","NB Modelia",6000,"cop","442138622258",760
"41580884080767",12374,"2020-02-05","01:28:22","2020-02-05","01:28:22","Exitosa","166434","H16632R000655","Bogota","NB Chico",80000,"cop","442138622258",760
"61580885303804",12376,"2020-02-05","01:48:02","2020-02-05","01:48:02","Exitosa","87596","H16632R000427","Bogota","NB Calle 34",50000,"cop","442138622258",760
"71580885812487",12378,"2020-02-05","01:56:23","2020-02-05","01:56:23","Exitosa","24577","H16632R000466","Cali","NB San Fernando",220000,"cop","442138622258",1250
"81580885802830",12380,"2020-02-05","01:57:08","2020-02-05","01:57:08","Exitosa","111228","1810P0920AWM3306","Bogota","Calle 71",100000,"cop","442138622258",418
"41580888071383",12382,"2020-02-05","02:35:01","2020-02-05","02:35:01","Exitosa","166434","1810P0920AWM3306","Bogota","Calle 71",250000,"cop","442138622258",687
"51580890925484",12385,"2020-02-05","03:21:16","2020-02-05","03:21:16","Exitosa","156235","H16632R000466","Cali","NB San Fernando",22000,"cop","442138622258",760
"51580893461836",12387,"2020-02-05","04:03:46","2020-02-05","04:03:46","Exitosa","156235","H16632R000466","Cali","NB San Fernando",40000,"cop","442138622258",760
"31580900391455",12389,"2020-02-05","05:58:43","2020-02-05","05:58:43","Exitosa","63113","H16632R000466","Cali","NB San Fernando",50000,"cop","442138622258",760
"71580902222682",12391,"2020-02-05","06:29:08","2020-02-05","06:29:08","Exitosa","203547","H16632R000466","Cali","NB San Fernando",20000,"cop","442138622258",760
"71580902347565",12393,"2020-02-05","06:31:10","2020-02-05","06:31:10","Exitosa","203547","H16632R000466","Cali","NB San Fernando",20000,"cop","442138622258",760
"31580905029184",12395,"2020-02-05","07:17:44","2020-02-05","07:17:44","Exitosa","233333","H16632R000452","Medellin","C.C. Del Rio",100000,"cop","442138622258",418
"61580905164413",12397,"2020-02-05","07:19:50","2020-02-05","07:19:50","Exitosa","218516","H16632R000452","Medellin","C.C. Del Rio",52000,"cop","442138622258",418
"21580905223092",12399,"2020-02-05","07:20:31","2020-02-05","07:20:31","Exitosa","171972","H16632R000452","Medellin","C.C. Del Rio",50000,"cop","442138622258",418
"11580905650793",12401,"2020-02-05","07:27:40","2020-02-05","07:27:40","Exitosa","186581","H16632R000452","Medellin","C.C. Del Rio",30000,"cop","442138622258",418
"61580905909265",12403,"2020-02-05","07:31:47","2020-02-05","07:31:47","Exitosa","195616","H16632R000633","Bogota","NB Modelia",15000,"cop","442138622258",760
"11580905976979",12405,"2020-02-05","07:32:56","2020-02-05","07:32:56","Exitosa","212831","H16632R000633","Bogota","NB Modelia",80000,"cop","442138622258",760
"61580907099152",12408,"2020-02-05","07:50:28","2020-02-05","07:50:28","Exitosa","187576","H16632R000466","Cali","NB San Fernando",50000,"cop","442138622258",760
"91580907394230",12410,"2020-02-05","07:56:47","2020-02-05","07:56:47","Exitosa","165609","H16632R000660","Barranquilla","Bahia",20000,"cop","442138622258",418
"71580907744795",12412,"2020-02-05","08:04:11","2020-02-05","08:04:11","Exitosa","154117","1810P0920AWM4948","Bucaramanga","Oficina-Bucaramanga",55000,"cop","442138622258",418
"01580908135421",12414,"2020-02-05","08:07:35","2020-02-05","08:07:35","Exitosa","92770","H16632R000466","Cali","NB San Fernando",50000,"cop","442138622258",760
"01580908628680",12416,"2020-02-05","08:16:06","2020-02-05","08:16:06","Exitosa","234520","H16632R000620","Bogota","Polo",50000,"cop","442138622258",418
"31580909331805",12420,"2020-02-05","08:29:03","2020-02-05","08:29:03","Exitosa","169503","H16632R000452","Medellin","C.C. Del Rio",50000,"cop","442138622258",418
"21580909555706",12423,"2020-02-05","08:33:53","2020-02-05","08:33:53","Exitosa","201302","H16632R000660","Barranquilla","Bahia",200000,"cop","442138622258",687
"31580909677970",12425,"2020-02-05","08:35:06","2020-02-05","08:35:06","Exitosa","172483","H16632R000660","Barranquilla","Bahia",30000,"cop","442138622258",418
"61580910005073",12429,"2020-02-05","08:40:05","2020-02-05","08:40:05","Exitosa","224576","H16632R000452","Medellin","C.C. Del Rio",20000,"cop","442138622258",418
"41580909896445",12430,"2020-02-05","08:40:20","2020-02-05","08:40:20","Exitosa","233014","1810P0920AWM4948","Bucaramanga","Oficina-Bucaramanga",150000,"cop","442138622258",687
"61580910575364",12432,"2020-02-05","08:49:51","2020-02-05","08:49:51","Exitosa","139386","H16632R000660","Barranquilla","Bahia",15000,"cop","442138622258",418
"51580910695952",12435,"2020-02-05","08:50:23","2020-02-05","08:50:23","Exitosa","65235","H16632R000466","Cali","NB San Fernando",22000,"cop","442138622258",760
"61580910682426",12436,"2020-02-05","08:50:31","2020-02-05","08:50:31","Exitosa","141656","H16632R000620","Bogota","Polo",90000,"cop","442138622258",418
"71580911117574",12438,"2020-02-05","08:57:22","2020-02-05","08:57:22","Exitosa","74357","H16632R000620","Bogota","Polo",50000,"cop","442138622258",418
"61580911100640",12441,"2020-02-05","08:58:37","2020-02-05","08:58:37","Exitosa","67886","H16632R000660","Barranquilla","Bahia",100000,"cop","442138622258",418
"91580911171550",12442,"2020-02-05","08:58:48","2020-02-05","08:58:48","Exitosa","158839","H16632R000466","Cali","NB San Fernando",162000,"cop","442138622258",1250
"01580911279415",12445,"2020-02-05","09:01:38","2020-02-05","09:01:38","Exitosa","194470","H16632R000452","Medellin","C.C. Del Rio",120000,"cop","442138622258",687
"11580911413463",12447,"2020-02-05","09:03:47","2020-02-05","09:03:47","Exitosa","200941","1810P0920AWM3306","Bogota","Calle 71",20000,"cop","442138622258",418
"51580911532353",12450,"2020-02-05","09:06:05","2020-02-05","09:06:05","Exitosa","160405","H16632R000660","Barranquilla","Bahia",42000,"cop","442138622258",418
"01580911709728",12452,"2020-02-05","09:08:40","2020-02-05","09:08:40","Exitosa","180690","H16632R000452","Medellin","C.C. Del Rio",40000,"cop","442138622258",418
"11580911817352",12454,"2020-02-05","09:10:44","2020-02-05","09:10:44","Exitosa","74401","1810P0920AWM3306","Bogota","Calle 71",90000,"cop","442138622258",418
"41580912011879",12456,"2020-02-05","09:13:36","2020-02-05","09:13:36","Exitosa","191294","H16632R000452","Medellin","C.C. Del Rio",50000,"cop","442138622258",418
"91580912057364",12458,"2020-02-05","09:14:25","2020-02-05","09:14:25","Exitosa","229519","H16632R000452","Medellin","C.C. Del Rio",70000,"cop","442138622258",418
"11580912063449",12460,"2020-02-05","09:16:05","2020-02-05","09:16:05","Exitosa","166411","1810P0920AWM4948","Bucaramanga","Oficina-Bucaramanga",34000,"cop","442138622258",418
"81580912668638",12462,"2020-02-05","09:24:40","2020-02-05","09:24:40","Exitosa","215758","1810P0920AWM3306","Bogota","Calle 71",2000,"cop","442138622258",418
"81580912755533",12465,"2020-02-05","09:26:08","2020-02-05","09:26:08","Exitosa","215758","1810P0920AWM3306","Bogota","Calle 71",2000,"cop","442138622258",418
"81580912805892",12467,"2020-02-05","09:26:55","2020-02-05","09:26:55","Exitosa","215758","1810P0920AWM3306","Bogota","Calle 71",2000,"cop","442138622258",418
"21580912842841",12470,"2020-02-05","09:27:26","2020-02-05","09:27:26","Exitosa","215992","H16632R000452","Medellin","C.C. Del Rio",50000,"cop","442138622258",418
"91580912836570",12471,"2020-02-05","09:27:34","2020-02-05","09:27:34","Exitosa","214499","H16632R000660","Barranquilla","Bahia",50000,"cop","442138622258",418
"31580913039457",12473,"2020-02-05","09:29:24","2020-02-05","09:29:24","Exitosa","162833","H16632R000620","Bogota","Polo",5000,"cop","442138622258",418
"51580913078184",12475,"2020-02-05","09:30:25","2020-02-05","09:30:25","Exitosa","27705","H16632R000620","Bogota","Polo",54000,"cop","442138622258",418
"41580913317916",12477,"2020-02-05","09:36:48","2020-02-05","09:36:48","Exitosa","184954","1810P0920AWM4948","Bucaramanga","Oficina-Bucaramanga",50000,"cop","442138622258",418
"41580913852776",12479,"2020-02-05","09:44:25","2020-02-05","09:44:25","Exitosa","172844","H16632R000452","Medellin","C.C. Del Rio",17000,"cop","442138622258",418
"61580913913469",12481,"2020-02-05","09:45:35","2020-02-05","09:45:35","Exitosa","235296","H16632R000660","Barranquilla","Bahia",30000,"cop","442138622258",418
"51580914380989",12485,"2020-02-05","09:53:28","2020-02-05","09:53:28","Exitosa","206595","H16632R000660","Barranquilla","Bahia",30000,"cop","442138622258",418
"71580914700050",12488,"2020-02-05","09:58:47","2020-02-05","09:58:47","Exitosa","228957","H16632R000452","Medellin","C.C. Del Rio",48000,"cop","442138622258",418
"71580914759391",12491,"2020-02-05","09:59:42","2020-02-05","09:59:42","Exitosa","228497","1810P0920AWM3306","Bogota","Calle 71",30000,"cop","442138622258",418
"71580914949004",12493,"2020-02-05","10:03:01","2020-02-05","10:03:01","Exitosa","227347","H16632R000660","Barranquilla","Bahia",20000,"cop","442138622258",418
"51580915762853",12495,"2020-02-05","10:17:07","2020-02-05","10:17:07","Exitosa","167145","1810P0920AWM3272","Cartagena","Heladeria",50000,"cop","442138622258",418
"31580916105447",12497,"2020-02-05","10:22:03","2020-02-05","10:22:03","Exitosa","209993","H16632R000452","Medellin","C.C. Del Rio",50000,"cop","442138622258",418
"21580916201512",12500,"2020-02-05","10:23:27","2020-02-05","10:23:27","Exitosa","166802","H16632R000452","Medellin","C.C. Del Rio",20000,"cop","442138622258",418
"01580916096275",12501,"2020-02-05","10:23:28","2020-02-05","10:23:28","Exitosa","186190","1810P0920AWM4948","Bucaramanga","Oficina-Bucaramanga",50000,"cop","442138622258",418
"01580916303816",12504,"2020-02-05","10:26:18","2020-02-05","10:26:18","Exitosa","226540","1810P0920AWM3272","Cartagena","Heladeria",70000,"cop","442138622258",418
"11580916472030",12506,"2020-02-05","10:28:43","2020-02-05","10:28:43","Exitosa","158371","H16632R000660","Barranquilla","Bahia",300000,"cop","442138622258",687
"11580916710859",12508,"2020-02-05","10:32:48","2020-02-05","10:32:48","Exitosa","127871","H16632R000660","Barranquilla","Bahia",142000,"cop","442138622258",687
"11580916817136",12510,"2020-02-05","10:33:59","2020-02-05","10:33:59","Exitosa","83951","H16632R000452","Medellin","C.C. Del Rio",40000,"cop","442138622258",418
"31580917123195",12512,"2020-02-05","10:39:29","2020-02-05","10:39:29","Exitosa","206583","H16632R000660","Barranquilla","Bahia",40000,"cop","442138622258",418
"11580917223869",12514,"2020-02-05","10:41:25","2020-02-05","10:41:25","Exitosa","193381","1810P0920AWM3272","Cartagena","Heladeria",20000,"cop","442138622258",418
"81580917350675",12516,"2020-02-05","10:42:51","2020-02-05","10:42:51","Exitosa","194348","H16632R000452","Medellin","C.C. Del Rio",4000,"cop","442138622258",418
"21580917596463",12520,"2020-02-05","10:46:44","2020-02-05","10:46:44","Exitosa","221182","H16632R000452","Medellin","C.C. Del Rio",10000,"cop","442138622258",418
"41580917625721",12523,"2020-02-05","10:48:04","2020-02-05","10:48:04","Exitosa","116164","1810P0920AWM3272","Cartagena","Heladeria",20000,"cop","442138622258",418
"41580917891634",12528,"2020-02-05","10:50:17","2020-02-05","10:50:17","Exitosa","147444","H16632R000620","Bogota","Polo",50000,"cop","442138622258",418
"41580917814510",12530,"2020-02-05","10:50:28","2020-02-05","10:50:28","Exitosa","82854","H16632R000614","Medellin","J&B Laureles",60000,"cop","442138622258",760
"11580917751139",12531,"2020-02-05","10:50:43","2020-02-05","10:50:43","Exitosa","161351","1810P0920AWM4948","Bucaramanga","Oficina-Bucaramanga",60000,"cop","442138622258",418
